11701,35,Programming Languages,4,11:45 AM–12:50 PM   MWF,8 345,2017-01-03 to 2017-03-10,Regular Academic Session,Yang, Lan,Lecture, Face-to-Face,
20700,35,Programming Languages,4,1:00 PM–2:50 PM   TuTh,,2017-01-03 to 2017-03-10,Open University Session,Raheja, Amar,Lecture, Face-to-Face,
20701,33,Programming Languages,4,11:45 AM–12:50 PM   MWF,,2017-01-03 to 2017-03-10,Open University Session,Yang, Lan,Lecture, Face-to-Face,
11702,35,Compilers and Interpreters,4,3:00 PM–4:50 PM   TuTh,8 302,2017-01-03 to 2017-03-10,Regular Academic Session,Atanasio, Dominick,Lecture, Face-to-Face,
20702,35,Compilers and Interpreters,4,3:00 PM–4:50 PM   TuTh,,2017-01-03 to 2017-03-10,Open University Session,Atanasio, Dominick,Lecture, Face-to-Face,
11704,35,Artificial Intelligence,4,10:00 AM–11:50 AM   TuTh,8 302,2017-01-03 to 2017-03-10,Regular Academic Session,Tang, Fang,Lecture, Face-to-Face,
20704,35,Artificial Intelligence,4,10:00 AM–11:50 AM   TuTh,,2017-01-03 to 2017-03-10,Open University Session,Tang, Fang,Lecture, Face-to-Face,
11708,35,Operating Systems,4,3:00 PM–4:50 PM   TuTh,3 2636,2017-01-03 to 2017-03-10,Regular Academic Session,Young, Gilbert,Lecture, Face-to-Face,
11709,48,Operating Systems,4,4:00 PM–5:50 PM   MW,8 345,2017-01-03 to 2017-03-10,Regular Academic Session,Pantic, Nicholas,Lecture, Face-to-Face,
20708,35,Operating Systems,4,3:00 PM–4:50 PM   TuTh,,2017-01-03 to 2017-03-10,Open University Session,Young, Gilbert,Lecture, Face-to-Face,
20709,35,Operating Systems,4,4:00 PM–5:50 PM   MW,,2017-01-03 to 2017-03-10,Open University Session,Pantic, Nicholas,Lecture, Face-to-Face,
11711,35,Database Systems,4,10:30 AM–11:35 AM   MWF,8 302,2017-01-03 to 2017-03-10,Regular Academic Session,Rodriguez, Edwin,Lecture, Face-to-Face,
20711,35,Database Systems,4,10:30 AM–11:35 AM   MWF,,2017-01-03 to 2017-03-10,Open University Session,Rodriguez, Edwin,Lecture, Face-to-Face,
11718,35,Secure Communication,4,5:00 PM–6:50 PM   TuTh,8 52,2017-01-03 to 2017-03-10,Regular Academic Session,Husain, Mohammad,Lecture, Face-to-Face,
20718,35,Secure Communication,4,5:00 PM–6:50 PM   TuTh,,2017-01-03 to 2017-03-10,Open University Session,Husain, Mohammad,Lecture, Face-to-Face,
14104,4,Senior Project,2,No time set.   TBA,,2017-01-03 to 2017-03-10,Regular Academic Session,Sun, Yu,Independent Study, Face-to-Face,
14109,30,Senior Project,2,No time set.   TBA,,2017-01-03 to 2017-03-10,Regular Academic Session,Diaz, Tony,Independent Study, Face-to-Face,
14121,1,Senior Project,2,No time set.   TBA,,2017-01-03 to 2017-03-10,Regular Academic Session,Tang, Fang,Independent Study, Face-to-Face,
14206,1,Senior Project,2,No time set.   TBA,,2017-01-03 to 2017-03-10,Regular Academic Session,Tang, Fang,Independent Study, Face-to-Face,
14311,1,Senior Project,2,No time set.   TBA,,2017-01-03 to 2017-03-10,Regular Academic Session,Husain, Mohammad,Independent Study, Face-to-Face,
23506,0,Senior Project,2,No time set.   TBA,,2017-01-03 to 2017-03-10,Regular Academic Session,Sang, Fuh,Independent Study, Face-to-Face,
23552,5,Senior Project,2,No time set.   TBA,,2017-01-03 to 2017-03-10,Regular Academic Session,Pantic, Nicholas,Independent Study, Face-to-Face,
23568,1,Senior Project,2,No time set.   TBA,,2017-01-03 to 2017-03-10,Regular Academic Session,Tang, Fang,Independent Study, Face-to-Face,
23572,1,Senior Project,2,No time set.   TBA,,2017-01-03 to 2017-03-10,Regular Academic Session,Raheja, Amar,Independent Study, Face-to-Face,
23769,2,Senior Project,2,No time set.   TBA,,2017-01-03 to 2017-03-10,Regular Academic Session,Jayarathna, Ukwatta,Independent Study, Face-to-Face,
23104,2,Senior Project,2,No time set.   TBA,,2017-01-03 to 2017-03-10,Open University Session,Sun, Yu,Independent Study, Face-to-Face,
23109,30,Senior Project,2,No time set.   TBA,,2017-01-03 to 2017-03-10,Open University Session,Diaz, Tony,Independent Study, Face-to-Face,
23121,1,Senior Project,2,No time set.   TBA,,2017-01-03 to 2017-03-10,Open University Session,Tang, Fang,Independent Study, Face-to-Face,
23206,1,Senior Project,2,No time set.   TBA,,2017-01-03 to 2017-03-10,Open University Session,Tang, Fang,Independent Study, Face-to-Face,
23311,1,Senior Project,2,No time set.   TBA,,2017-01-03 to 2017-03-10,Open University Session,Husain, Mohammad,Independent Study, Face-to-Face,
14312,1,Senior Project,2,No time set.   TBA,,2017-01-03 to 2017-03-10,Regular Academic Session,Sun, Yu,Independent Study, Face-to-Face,
